Start time	End time	Duration [s]	Warning duration [s]	Event info	Device name
06.03.2020 23:59:53	07.03.2020 00:00:23	29.991	29.991	high thread cpu usage (109% out of 800%)	NYC-BAAM-L871
06.03.2020 23:59:47	07.03.2020 00:00:17	29.991	29.991	high thread cpu usage (95% out of 800%)	NYC-BXII-L304
06.03.2020 23:59:44	07.03.2020 00:02:44	179.991	119.991	high thread cpu usage (97% out of 400%)	NYC-BAAM-L888
06.03.2020 23:59:07	06.03.2020 23:59:37	29.991	29.991	high io usage (4.7KB/s)	NYC-REAL-L681
06.03.2020 23:58:36	06.03.2020 23:59:06	29.991	29.991	high thread cpu usage (80% out of 800%)	NYC-BXII-L379
06.03.2020 23:58:00	06.03.2020 23:58:30	29.991	29.991	high thread cpu usage (85% out of 400%)	NYC-BAAM-L858
06.03.2020 23:57:16	07.03.2020 00:02:16	299.991	299.991	high io usage (81.5MB/s)	TOK-IRBD-L014
06.03.2020 23:56:07	07.03.2020 00:01:07	299.991	299.991	high io usage (195.4MB/s)	NYC-REAL-L681
06.03.2020 23:55:47	06.03.2020 23:56:17	29.991	29.991	high thread cpu usage (203% out of 400%)	NYC-REAL-L886
06.03.2020 23:55:07	06.03.2020 23:59:07	239.991	179.991	high io usage (55MB/s)	NYC-REAL-L681
06.03.2020 23:54:05	06.03.2020 23:54:35	29.991	29.991	high thread cpu usage (82% out of 800%)	HKG-REAL-L186
06.03.2020 23:53:07	06.03.2020 23:54:37	89.991	59.991	high io usage (20.2MB/s)	NYC-REAL-L681
06.03.2020 23:52:45	06.03.2020 23:53:15	29.991	29.991	high thread cpu usage (102% out of 400%)	NYC-BAAM-L888
06.03.2020 23:52:37	06.03.2020 23:54:07	89.991	59.991	high io usage (4.6MB/s)	NYC-REAL-L681
06.03.2020 23:52:16	06.03.2020 23:57:16	299.991	299.991	high io usage (81.8MB/s)	TOK-IRBD-L014
06.03.2020 23:51:07	06.03.2020 23:56:07	299.991	299.991	high io usage (155MB/s)	NYC-REAL-L681
06.03.2020 23:51:01	06.03.2020 23:52:05	63.991	59.991	high thread cpu usage (109% out of 800%)	NYC-BXII-L379
06.03.2020 23:49:56	06.03.2020 23:50:56	59.991	59.991	high thread cpu usage (149% out of 800%)	TOK-REAL-L069
06.03.2020 23:48:37	06.03.2020 23:49:07	29.991	29.991	high thread cpu usage (100% out of 400%)	TOK-REAL-L055
06.03.2020 23:47:37	06.03.2020 23:48:07	29.991	29.991	high io usage (200.5KB/s)	NYC-REAL-L681
06.03.2020 23:47:16	06.03.2020 23:52:16	299.991	299.991	high io usage (81.3MB/s)	TOK-IRBD-L014
06.03.2020 23:47:06	06.03.2020 23:47:36	29.991	29.991	high thread cpu usage (91% out of 800%)	NYC-ERSG-L080
06.03.2020 23:46:07	06.03.2020 23:51:07	299.991	299.991	high io usage (103.1MB/s)	NYC-REAL-L681
06.03.2020 23:45:41	06.03.2020 23:46:11	29.991	29.991	high io usage (183.3MB/s)	MUM-RECP-L001
06.03.2020 23:45:11	06.03.2020 23:45:41	29.991	29.991	high io usage (21.6MB/s)	HUS-GSO-L065
06.03.2020 23:45:05	06.03.2020 23:45:35	29.991	29.991	high thread cpu usage (178% out of 800%)	NYC-REAL-L855
06.03.2020 23:43:58	06.03.2020 23:58:32	874.291	509.991	high thread cpu usage (158% out of 800%)	NYC-TACT-L110
06.03.2020 23:43:39	06.03.2020 23:44:09	29.991	29.991	high io usage (7.6KB/s)	NYC-BXII-L252
06.03.2020 23:43:19	06.03.2020 23:43:49	29.991	29.991	high overall cpu usage (99% out of 100%)	NYC-PEQG-L833
06.03.2020 23:43:19	06.03.2020 23:51:40	500.991	359.991	high thread cpu usage (317% out of 800%)	NYC-PEQG-L833
06.03.2020 23:42:16	06.03.2020 23:47:16	299.991	299.991	high io usage (80.9MB/s)	TOK-IRBD-L014
06.03.2020 23:41:07	06.03.2020 23:46:07	299.991	299.991	high io usage (88.3MB/s)	NYC-REAL-L681
