Start time	End time	Duration [s]	Warning duration [s]	Event info	Device name
09.03.2020 23:59:35	10.03.2020 00:00:35	59.991	59.991	high thread cpu usage (143% out of 800%)	HKG-REAL-L172
09.03.2020 23:59:14	09.03.2020 23:59:44	29.991	29.991	high thread cpu usage (87% out of 800%)	HKG-PEQG-L126
09.03.2020 23:59:01	10.03.2020 00:01:31	149.991	59.991	high thread cpu usage (117% out of 400%)	MUM-PEQG-L083
09.03.2020 23:58:22	10.03.2020 00:04:11	348.991	269.991	high thread cpu usage (178% out of 800%)	NYC-FING-L440
09.03.2020 23:57:53	09.03.2020 23:59:53	119.991	119.991	high thread cpu usage (120% out of 800%)	SIN-TACT-L039
09.03.2020 23:57:25	10.03.2020 00:01:14	228.991	119.991	high thread cpu usage (147% out of 800%)	NYC-GSO-L187
09.03.2020 23:57:07	09.03.2020 23:58:37	89.991	89.991	high thread cpu usage (187% out of 800%)	NYC-COMP-L199
09.03.2020 23:57:06	09.03.2020 23:58:06	59.991	59.991	high thread cpu usage (117% out of 800%)	NYC-COMP-L199
09.03.2020 23:56:52	10.03.2020 00:06:37	584.991	419.991	high thread cpu usage (128% out of 800%)	NYC-REAL-L907
09.03.2020 23:56:46	09.03.2020 23:57:16	29.991	29.991	high io usage (32.1MB/s)	NYC-COMP-L199
09.03.2020 23:56:30	10.03.2020 00:11:54	924.291	719.991	high thread cpu usage (135% out of 800%)	NYC-REAL-L375
09.03.2020 23:56:25	09.03.2020 23:56:55	29.991	29.991	high io usage (15.1MB/s)	NYC-GSO-L231
09.03.2020 23:56:23	09.03.2020 23:56:53	29.991	29.991	high thread cpu usage (113% out of 800%)	HKG-COMP-L025
09.03.2020 23:56:06	09.03.2020 23:56:36	29.991	29.991	high thread cpu usage (97% out of 800%)	HKG-GCS-L008
09.03.2020 23:55:59	10.03.2020 00:00:29	269.991	59.991	high thread cpu usage (81% out of 800%)	NYC-BXII-L1031
09.03.2020 23:55:52	10.03.2020 00:09:22	809.991	689.991	high thread cpu usage (117% out of 400%)	SIN-PEQG-L042
09.03.2020 23:55:25	09.03.2020 23:58:55	209.991	89.991	high thread cpu usage (145% out of 800%)	LDN-TACT-L048
09.03.2020 23:54:54	09.03.2020 23:55:24	29.991	29.991	high thread cpu usage (85% out of 800%)	NYC-INFR-L019
09.03.2020 23:54:50	09.03.2020 23:55:20	29.991	29.991	high thread cpu usage (86% out of 400%)	NYC-STPG-L072
09.03.2020 23:54:21	09.03.2020 23:56:21	119.991	119.991	high thread cpu usage (110% out of 800%)	NYC-BXII-L1084
09.03.2020 23:54:18	10.03.2020 00:06:08	709.991	299.991	high thread cpu usage (112% out of 800%)	HKG-REAL-L152
09.03.2020 23:54:16	09.03.2020 23:54:46	29.991	29.991	high thread cpu usage (98% out of 800%)	NYC-REAL-L124
09.03.2020 23:54:04	09.03.2020 23:54:34	29.991	29.991	high thread cpu usage (80% out of 800%)	HKG-REAL-L185
09.03.2020 23:53:38	09.03.2020 23:54:08	29.991	29.991	high thread cpu usage (85% out of 800%)	NYC-BAAM-L819
09.03.2020 23:53:37	09.03.2020 23:58:37	299.991	299.991	high number of page faults (5550pages/s)	NYC-COMP-L199
09.03.2020 23:53:12	09.03.2020 23:53:42	29.991	29.991	high thread cpu usage (98% out of 800%)	NYC-BXII-L388
09.03.2020 23:52:57	09.03.2020 23:53:27	29.991	29.991	high thread cpu usage (127% out of 800%)	NYC-FING-L674
09.03.2020 23:52:46	09.03.2020 23:53:16	29.991	29.991	high thread cpu usage (100% out of 800%)	NYC-PWM-L126
09.03.2020 23:52:43	09.03.2020 23:54:43	119.991	119.991	high thread cpu usage (111% out of 800%)	SIN-FING-L028
09.03.2020 23:52:37	09.03.2020 23:53:07	29.991	29.991	high thread cpu usage (151% out of 800%)	HKG-PEQG-L120
09.03.2020 23:51:55	09.03.2020 23:56:25	269.991	269.991	high io usage (27.7MB/s)	NYC-GSO-L231
09.03.2020 23:51:43	09.03.2020 23:52:43	59.991	59.991	high thread cpu usage (148% out of 800%)	NYC-REAL-L986
09.03.2020 23:49:33	10.03.2020 00:06:02	989.291	329.991	high thread cpu usage (114% out of 800%)	NYC-TACT-L194
09.03.2020 23:49:25	09.03.2020 23:52:25	179.991	179.991	high io usage (27.1MB/s)	NYC-GSO-L231
09.03.2020 23:49:24	09.03.2020 23:49:54	29.991	29.991	high thread cpu usage (84% out of 400%)	NYC-COMP-L086
09.03.2020 23:49:00	09.03.2020 23:49:30	29.991	29.991	high thread cpu usage (97% out of 800%)	HKG-REAL-L143
09.03.2020 23:48:10	09.03.2020 23:48:40	29.991	29.991	high thread cpu usage (80% out of 800%)	NYC-TACT-L154
09.03.2020 23:47:44	09.03.2020 23:57:58	613.991	389.991	high thread cpu usage (123% out of 800%)	TOK-IRBD-L014
09.03.2020 23:47:03	09.03.2020 23:47:33	29.991	29.991	high thread cpu usage (81% out of 800%)	NYC-BXII-L388
09.03.2020 23:46:55	09.03.2020 23:47:55	59.991	59.991	high io usage (25.4MB/s)	NYC-GSO-L231
09.03.2020 23:46:49	09.03.2020 23:47:19	29.991	29.991	high thread cpu usage (86% out of 800%)	NYC-INFR-L019
09.03.2020 23:46:27	09.03.2020 23:53:12	404.991	299.991	high thread cpu usage (206% out of 800%)	NYC-FING-L440
09.03.2020 23:46:17	09.03.2020 23:46:47	29.991	29.991	high io usage (20.1MB/s)	NYC-FING-L440
09.03.2020 23:45:40	09.03.2020 23:47:41	120.991	59.991	high thread cpu usage (104% out of 400%)	LDN-TACT-L058
09.03.2020 23:45:04	09.03.2020 23:45:34	29.991	29.991	high thread cpu usage (100% out of 800%)	HKG-HUMN-L035
09.03.2020 23:45:03	09.03.2020 23:47:33	149.991	149.991	high thread cpu usage (310% out of 800%)	NYC-REAL-L833
09.03.2020 23:44:58	09.03.2020 23:48:28	209.991	59.991	high thread cpu usage (86% out of 800%)	HKG-REAL-L152
09.03.2020 23:44:45	09.03.2020 23:45:45	59.991	59.991	high thread cpu usage (390% out of 800%)	NYC-REAL-L833
09.03.2020 23:44:37	09.03.2020 23:45:07	29.991	29.991	high thread cpu usage (121% out of 800%)	SIN-TACT-L039
09.03.2020 23:44:35	09.03.2020 23:45:05	29.991	29.991	high io usage (4.1MB/s)	NYC-REAL-L833
09.03.2020 23:44:16	09.03.2020 23:46:46	149.991	89.991	high thread cpu usage (104% out of 800%)	HKG-REAL-L172
09.03.2020 23:44:07	09.03.2020 23:44:37	29.991	29.991	high overall cpu usage (96% out of 100%)	NYC-REAL-L907
09.03.2020 23:44:07	09.03.2020 23:50:57	409.991	389.991	high thread cpu usage (183% out of 800%)	NYC-REAL-L907
09.03.2020 23:43:49	09.03.2020 23:45:49	119.991	119.991	high thread cpu usage (117% out of 800%)	NYC-COMP-L199
09.03.2020 23:43:26	09.03.2020 23:43:56	29.991	29.991	high io usage (19.1MB/s)	SIN-TACT-L039
09.03.2020 23:42:49	09.03.2020 23:43:19	29.991	29.991	high thread cpu usage (81% out of 800%)	NYC-FING-L508
09.03.2020 23:42:21	09.03.2020 23:42:51	29.991	29.991	high thread cpu usage (92% out of 800%)	NYC-GSO-L258
09.03.2020 23:41:57	09.03.2020 23:44:26	148.991	148.991	high thread cpu usage (106% out of 800%)	NYC-BXII-L1084
09.03.2020 23:40:59	10.03.2020 00:04:01	1382.291	899.291	high thread cpu usage (95% out of 400%)	NYC-GSO-L250
09.03.2020 23:40:59	09.03.2020 23:41:29	29.991	29.991	high thread cpu usage (102% out of 800%)	NYC-PEQG-L724
09.03.2020 23:40:54	09.03.2020 23:41:24	29.991	29.991	high thread cpu usage (86% out of 800%)	NYC-INFR-L019
09.03.2020 23:40:32	09.03.2020 23:43:32	179.991	119.991	high thread cpu usage (114% out of 800%)	NYC-REAL-L986
09.03.2020 23:40:30	10.03.2020 00:00:24	1194.291	929.291	high thread cpu usage (118% out of 800%)	HUS-GSO-L065
09.03.2020 23:39:58	09.03.2020 23:40:28	29.991	29.991	high io usage (22.8MB/s)	HKG-REAL-L143
09.03.2020 23:39:28	09.03.2020 23:39:58	29.991	29.991	high io usage (23.3MB/s)	HKG-REAL-L143
09.03.2020 23:39:18	09.03.2020 23:39:48	29.991	29.991	high thread cpu usage (162% out of 800%)	NYC-BISG-L048
09.03.2020 23:39:11	09.03.2020 23:39:41	29.991	29.991	high thread cpu usage (101% out of 800%)	NYC-REAL-L885
09.03.2020 23:38:54	09.03.2020 23:39:24	29.991	29.991	high thread cpu usage (125% out of 400%)	NYC-COMP-L086
09.03.2020 23:38:23	10.03.2020 02:05:25	8822.291	8821.291	high thread cpu usage (211% out of 800%)	NYC-INFR-L076
09.03.2020 23:37:41	09.03.2020 23:38:11	29.991	29.991	high thread cpu usage (152% out of 800%)	LDN-GSO-L066
09.03.2020 23:37:08	09.03.2020 23:38:08	59.991	59.991	high thread cpu usage (96% out of 800%)	HKG-REAL-L152
09.03.2020 23:36:44	09.03.2020 23:37:14	29.991	29.991	high thread cpu usage (81% out of 800%)	TOK-IRBD-L014
09.03.2020 23:36:30	09.03.2020 23:38:00	89.991	89.991	high thread cpu usage (93% out of 400%)	NYC-GSO-L250
09.03.2020 23:36:06	09.03.2020 23:42:46	399.991	119.991	high thread cpu usage (100% out of 800%)	HKG-GCS-L008
09.03.2020 23:35:59	09.03.2020 23:37:20	80.991	59.991	high thread cpu usage (121% out of 800%)	NYC-REAL-L849
09.03.2020 23:35:21	09.03.2020 23:38:35	193.991	89.991	high thread cpu usage (86% out of 800%)	HKG-REAL-L172
09.03.2020 23:35:09	09.03.2020 23:35:39	29.991	29.991	high thread cpu usage (102% out of 800%)	NYC-TACT-L139
09.03.2020 23:35:04	09.03.2020 23:35:34	29.991	29.991	high thread cpu usage (80% out of 400%)	LDN-REAL-L669
09.03.2020 23:34:55	09.03.2020 23:35:25	29.991	29.991	high io usage (22.3MB/s)	NYC-GSO-L231
09.03.2020 23:34:27	09.03.2020 23:38:57	269.991	239.991	high thread cpu usage (200% out of 800%)	NYC-FING-L440
09.03.2020 23:34:25	09.03.2020 23:34:55	29.991	29.991	high thread cpu usage (80% out of 800%)	HUS-GSO-L065
09.03.2020 23:33:43	09.03.2020 23:52:42	1139.291	1139.291	high thread cpu usage (110% out of 800%)	LDN-REAL-L626
09.03.2020 23:33:13	09.03.2020 23:41:13	479.991	149.991	high thread cpu usage (103% out of 800%)	NYC-TACT-L194
09.03.2020 23:32:37	09.03.2020 23:33:07	29.991	29.991	high thread cpu usage (102% out of 800%)	SIN-TACT-L039
09.03.2020 23:32:07	09.03.2020 23:44:17	729.991	329.991	high thread cpu usage (114% out of 800%)	HKG-PEQG-L120
09.03.2020 23:31:55	09.03.2020 23:35:55	239.991	239.991	high io usage (25.4MB/s)	NYC-GSO-L231
09.03.2020 23:30:58	09.03.2020 23:31:28	29.991	29.991	high thread cpu usage (111% out of 800%)	NYC-BXII-L1031
09.03.2020 23:30:57	09.03.2020 23:32:57	119.991	59.991	high thread cpu usage (130% out of 800%)	NYC-REAL-L986
09.03.2020 23:30:56	09.03.2020 23:32:56	119.991	119.991	high thread cpu usage (278% out of 800%)	HKG-REAL-L138
09.03.2020 23:30:56	09.03.2020 23:31:26	29.991	29.991	high io usage (2.5MB/s)	HKG-REAL-L138
09.03.2020 23:30:32	09.03.2020 23:31:02	29.991	29.991	high thread cpu usage (82% out of 400%)	NYC-LOAN-L955
09.03.2020 23:30:26	09.03.2020 23:30:56	29.991	29.991	high io usage (26.8MB/s)	HKG-REAL-L138
09.03.2020 23:30:15	09.03.2020 23:30:45	29.991	29.991	high thread cpu usage (82% out of 800%)	NYC-REAL-L907
09.03.2020 23:30:00	09.03.2020 23:30:30	29.991	29.991	high thread cpu usage (107% out of 800%)	NYC-PWM-L126
09.03.2020 23:29:44	09.03.2020 23:33:14	209.991	89.991	high thread cpu usage (96% out of 800%)	TOK-IRBD-L014
09.03.2020 23:29:31	09.03.2020 23:32:01	149.991	149.991	high thread cpu usage (107% out of 800%)	NYC-BXII-L1084
