Start time	End time	Duration [s]	Warning duration [s]	Event info	Device name
07.03.2020 23:58:10	08.03.2020 03:43:10	9900.291	9900.291	high memory usage (71%)	NYC-STPG-L072
07.03.2020 23:56:56	08.03.2020 03:38:48	9712.291	9508.291	high thread cpu usage (153% out of 400%)	NYC-REAL-L741
07.03.2020 23:56:55	08.03.2020 00:00:25	209.991	209.991	high io usage (92.6MB/s)	NYC-PWM-L111
07.03.2020 23:56:51	08.03.2020 00:06:57	605.991	599.991	high thread cpu usage (120% out of 800%)	NYC-PWM-L111
07.03.2020 23:55:30	07.03.2020 23:56:00	29.991	29.991	high io usage (21.3MB/s)	NYC-BXII-L804
07.03.2020 23:55:16	07.03.2020 23:55:46	29.991	29.991	high thread cpu usage (124% out of 800%)	HKG-REAL-L185
07.03.2020 23:54:58	07.03.2020 23:55:58	59.991	59.991	high thread cpu usage (106% out of 800%)	NYC-BISG-L072
07.03.2020 23:54:13	07.03.2020 23:54:43	29.991	29.991	high thread cpu usage (95% out of 800%)	NYC-IRBD-L030
07.03.2020 23:51:30	08.03.2020 01:16:35	5105.291	5099.291	high overall cpu usage (77% out of 100%)	NYC-REAL-L597
07.03.2020 23:51:30	08.03.2020 01:16:35	5105.291	5099.291	high thread cpu usage (624% out of 800%)	NYC-REAL-L597
07.03.2020 23:51:22	07.03.2020 23:51:52	29.991	29.991	high thread cpu usage (105% out of 1200%)	ZOOM-NEW-TC3FX2
07.03.2020 23:51:09	07.03.2020 23:52:08	58.991	58.991	high thread cpu usage (119% out of 800%)	HKG-REAL-L197
07.03.2020 23:51:06	08.03.2020 00:07:14	968.291	839.291	high thread cpu usage (136% out of 800%)	HKG-REAL-L143
07.03.2020 23:50:38	07.03.2020 23:51:38	59.991	59.991	high io usage (55.3MB/s)	HKG-REAL-L143
07.03.2020 23:49:46	07.03.2020 23:53:46	239.991	149.991	high thread cpu usage (172% out of 400%)	NYC-REAL-L741
07.03.2020 23:49:04	07.03.2020 23:49:34	29.991	29.991	high thread cpu usage (82% out of 400%)	MUM-REAL-L049
07.03.2020 23:48:04	08.03.2020 01:03:04	4500.291	4500.291	high memory usage (73%)	MUM-REAL-L049
07.03.2020 23:47:34	07.03.2020 23:48:04	29.991	29.991	high thread cpu usage (94% out of 800%)	NYC-IRBD-L030
07.03.2020 23:45:59	07.03.2020 23:46:29	29.991	29.991	high thread cpu usage (111% out of 800%)	NYC-FING-L385
07.03.2020 23:45:08	08.03.2020 20:30:03	71095.291	71095.291	high memory usage (80%)	SIN-TACT-L039
07.03.2020 23:43:30	07.03.2020 23:44:00	29.991	29.991	high io usage (20.7MB/s)	NYC-BXII-L804
07.03.2020 23:43:02	07.03.2020 23:58:01	899.291	567.991	high thread cpu usage (166% out of 800%)	NYC-BXII-L804
07.03.2020 23:43:00	07.03.2020 23:43:30	29.991	29.991	high io usage (12MB/s)	NYC-BXII-L804
07.03.2020 23:42:48	07.03.2020 23:43:18	29.991	29.991	high thread cpu usage (196% out of 400%)	NYC-TACT-L098
07.03.2020 23:42:31	07.03.2020 23:43:01	29.991	29.991	high thread cpu usage (99% out of 800%)	NYC-PEQG-L681
07.03.2020 23:41:41	07.03.2020 23:42:41	59.991	59.991	high thread cpu usage (104% out of 800%)	HKG-REAL-L185
07.03.2020 23:41:39	07.03.2020 23:42:09	29.991	29.991	high thread cpu usage (81% out of 400%)	NYC-REAL-L886
07.03.2020 23:40:36	07.03.2020 23:47:20	403.991	209.991	high thread cpu usage (111% out of 800%)	HKG-REAL-L143
07.03.2020 23:40:09	07.03.2020 23:40:39	29.991	29.991	high io usage (183.3MB/s)	LDN-PWM-L031
07.03.2020 23:40:08	07.03.2020 23:45:08	299.991	149.991	high io usage (26.4MB/s)	HKG-REAL-L143
07.03.2020 23:39:30	07.03.2020 23:40:00	29.991	29.991	high io usage (35.5MB/s)	NYC-BXII-L804
07.03.2020 23:39:09	07.03.2020 23:39:39	29.991	29.991	high thread cpu usage (103% out of 800%)	NYC-IRBD-L030
07.03.2020 23:38:38	07.03.2020 23:40:08	89.991	89.991	high thread cpu usage (397% out of 800%)	NYC-GSO-L568
07.03.2020 23:38:26	07.03.2020 23:39:56	89.991	89.991	high io usage (75MB/s)	NYC-GSO-L568
07.03.2020 23:38:26	07.03.2020 23:38:56	29.991	29.991	high io usage (30.5MB/s)	NYC-GSO-L568
07.03.2020 23:37:13	07.03.2020 23:39:43	149.991	149.991	high thread cpu usage (103% out of 800%)	NYC-BXII-L804
07.03.2020 23:37:06	07.03.2020 23:37:36	29.991	29.991	high thread cpu usage (117% out of 800%)	NYC-REAL-L885
07.03.2020 23:36:47	07.03.2020 23:37:17	29.991	29.991	high thread cpu usage (103% out of 400%)	TOK-LOAN-L031
07.03.2020 23:36:16	07.03.2020 23:36:46	29.991	29.991	high thread cpu usage (92% out of 800%)	HKG-REAL-L185
07.03.2020 23:35:25	07.03.2020 23:38:25	179.991	179.991	high io usage (91MB/s)	NYC-PWM-L111
07.03.2020 23:35:10	07.03.2020 23:35:40	29.991	29.991	high thread cpu usage (173% out of 800%)	NYC-GSO-L347
07.03.2020 23:35:08	07.03.2020 23:40:08	299.991	299.991	high number of page faults (5093pages/s)	NYC-GSO-L568
07.03.2020 23:35:04	07.03.2020 23:35:34	29.991	29.991	high thread cpu usage (115% out of 800%)	NYC-COMP-L174
07.03.2020 23:34:49	07.03.2020 23:35:49	59.991	59.991	high thread cpu usage (167% out of 800%)	LDN-GSO-L034
