Time	Type	Device name	Error code	Error label
09.03.2020 09:52:52	hard reset	NYC-BXII-L1078	0x0	-
09.03.2020 09:51:45	hard reset	NYC-PODS-L007	0x0	-
09.03.2020 09:51:26	hard reset	NYC-BAAM-L015	0x0	-
09.03.2020 09:51:03	hard reset	NYC-FING-L586	0x0	-
09.03.2020 09:47:22	hard reset	NYC-REAL-L835	0x0	-
09.03.2020 09:45:58	hard reset	NYC-PODS-L007	0x0	-
09.03.2020 09:45:27	hard reset	NYC-BXII-L1031	0x0	-
09.03.2020 09:43:57	hard reset	NYC-PODS-L007	0x0	-
09.03.2020 09:42:54	hard reset	NYC-BXII-L853	0x0	-
09.03.2020 09:41:39	hard reset	LDN-REAL-L564	0x0	-
09.03.2020 09:38:30	hard reset	NYC-STPG-L073	0x0	-
09.03.2020 09:35:49	hard reset	NYC-HUMN-L117	0x0	-
09.03.2020 09:35:08	hard reset	NYC-TEMP-L057	0x0	-
09.03.2020 09:30:42	hard reset	NYC-REAL-L906	0x0	-
09.03.2020 09:30:38	hard reset	NYC-STPG-L137	0x0	-
09.03.2020 09:29:11	hard reset	NYC-BXII-L106	0x0	-
09.03.2020 09:28:06	hard reset	NYC-BXII-L677	0x0	-
09.03.2020 09:27:37	hard reset	NYC-PEQG-L693	0x0	-
09.03.2020 09:23:25	hard reset	NYC-BXII-L252	0x0	-
09.03.2020 09:22:43	hard reset	NYC-BXII-L200	0x0	-
09.03.2020 09:20:31	hard reset	NYC-FING-L462	0x0	-
09.03.2020 09:11:27	hard reset	NYC-GSO-L506	0x0	-
09.03.2020 09:08:15	hard reset	NYC-TACT-L159	0x0	-
09.03.2020 09:07:20	hard reset	NYC-HUMN-L167	0x0	-
09.03.2020 09:05:58	hard reset	NYC-FING-L710	0x0	-
09.03.2020 09:04:05	hard reset	NYC-REAL-L833	0x0	-
09.03.2020 08:59:21	hard reset	NYC-REAL-L855	0x0	-
09.03.2020 08:59:17	hard reset	NYC-PORT-L022	0x0	-
09.03.2020 08:54:32	hard reset	NYC-BAAM-L819	0x0	-
09.03.2020 08:52:18	hard reset	SIN-REAL-L088	0x0	-
09.03.2020 08:51:18	hard reset	NYC-FING-L674	0x0	-
09.03.2020 08:50:02	hard reset	NYC-ERSG-L072	0x0	-
09.03.2020 08:48:13	hard reset	NYC-BAAM-L079	0x0	-
09.03.2020 08:44:42	hard reset	NYC-BISG-L025	0x0	-
09.03.2020 08:42:23	hard reset	NYC-BXII-L420	0x0	-
09.03.2020 08:42:19	hard reset	GUR-FING-L293	0x0	-
09.03.2020 08:42:03	hard reset	MUM-REAL-L106	0x0	-
09.03.2020 08:37:58	hard reset	GUR-FING-L293	0x0	-
09.03.2020 08:37:51	hard reset	NYC-GSO-L248	0x0	-
09.03.2020 08:36:59	hard reset	NYC-ERSG-L072	0x0	-
09.03.2020 08:35:48	hard reset	NYC-GSO-L347	0x0	-
09.03.2020 08:31:44	hard reset	NYC-HUMN-L173	0x0	-
09.03.2020 08:30:45	hard reset	NYC-FING-L705	0x0	-
09.03.2020 08:27:41	hard reset	NYC-FACL-L047	0x0	-
09.03.2020 08:26:52	hard reset	GUR-FING-L311	0x0	-
09.03.2020 08:21:54	hard reset	GUR-BXII-W248	0x0	-
09.03.2020 08:20:27	hard reset	NYC-PEQG-L681	0x0	-
09.03.2020 08:20:20	hard reset	NYC-BXII-L975	0x0	-
09.03.2020 08:18:29	hard reset	NYC-GSO-L187	0x0	-
09.03.2020 08:15:48	hard reset	MUM-PEQG-L083	0x0	-
09.03.2020 08:14:02	hard reset	NYC-GSO-L465	0x0	-
09.03.2020 08:12:41	hard reset	NYC-GSO-L350	0x0	-
09.03.2020 08:09:09	hard reset	NYC-REAL-L681	0x0	-
09.03.2020 08:04:01	hard reset	GUR-BXII-L296	0x0	-
09.03.2020 07:57:09	hard reset	NYC-GSO-L262	0x0	-
09.03.2020 07:26:15	hard reset	NYC-BXII-L517	0x0	-
09.03.2020 07:19:46	hard reset	NYC-HUMN-L140	0x0	-
09.03.2020 07:05:15	hard reset	NYC-GCS-L124	0x0	-
09.03.2020 06:46:29	hard reset	LDN-PEQG-L123	0x0	-
09.03.2020 06:38:37	hard reset	MAD-REAL-L002	0x0	-
09.03.2020 06:34:56	hard reset	GUR-BXII-L262	0x0	-
09.03.2020 06:32:41	hard reset	SIN-TACT-L039	0x0	-
09.03.2020 06:23:45	hard reset	LDN-REAL-L625	0x0	-
09.03.2020 06:17:38	hard reset	LDN-COMP-L032	0x0	-
09.03.2020 06:15:44	hard reset	LDN-REAL-L625	0x0	-
09.03.2020 06:12:51	hard reset	LDN-PEQG-L161	0x0	-
09.03.2020 06:10:59	hard reset	LDN-REAL-L572	0x0	-
09.03.2020 06:09:47	hard reset	LDN-TACT-L052	0x0	-
09.03.2020 06:05:44	hard reset	LDN-IRBD-L028	0x0	-
09.03.2020 06:02:01	hard reset	LDN-TACT-L048	0x0	-
09.03.2020 05:57:09	hard reset	GUR-BXII-L389	0x0	-
09.03.2020 05:49:02	hard reset	DBN-GSO-L168	0x0	-
09.03.2020 05:44:59	hard reset	GUR-BXII-L467	0x0	-
09.03.2020 05:39:50	hard reset	NYC-BAAM-L886	0x0	-
09.03.2020 05:39:42	hard reset	SIN-PEQG-L042	0x0	-
09.03.2020 05:27:30	hard reset	LDN-GSO-L047	0x0	-
09.03.2020 05:24:23	hard reset	LDN-LOAN-L290	0x0	-
09.03.2020 05:23:14	hard reset	LDN-REAL-L614	0x0	-
09.03.2020 05:23:00	hard reset	LDN-PEQG-L131	0x0	-
09.03.2020 05:19:29	hard reset	LDN-REAL-L682	0x0	-
09.03.2020 05:16:02	hard reset	GUR-FING-L160	0x0	-
09.03.2020 05:11:14	hard reset	LDN-REAL-L700	0x0	-
09.03.2020 05:08:21	hard reset	LDN-BAAM-L112	0x0	-
09.03.2020 05:06:08	hard reset	LDN-HUMN-L039	0x0	-
09.03.2020 05:05:09	hard reset	GUR-REAL-L097	0x0	-
09.03.2020 05:04:25	hard reset	LDN-PWM-L021	0x0	-
09.03.2020 05:04:20	hard reset	LDN-REAL-L669	0x0	-
09.03.2020 05:04:14	hard reset	LDN-IRBD-L023	0x0	-
09.03.2020 05:02:04	hard reset	MUM-REAL-L122	0x0	-
09.03.2020 05:00:14	hard reset	LDN-REAL-L618	0x0	-
09.03.2020 04:56:03	hard reset	LDN-TACT-L052	0x0	-
09.03.2020 04:55:54	hard reset	LDN-BAAM-L112	0x0	-
09.03.2020 04:40:44	hard reset	LDN-REAL-L520	0x0	-
09.03.2020 04:38:41	hard reset	LDN-ERSG-L009	0x0	-
